player_id,player_name,team_id,general_position,mins_played,poss_pct,seq_present,clear,tack,block,drib_past,interc,pressure,team_name,league,clear_90,tack_90,block_90,drib_past_90,interc_90,pressure_90,sequences_p90
40125,Steven Pienaar,29,Attacking Midfielder,21.1467666667,0.3433734939759036,29,0.0,0.0,2.0,0.0,0.0,0.0,Everton,epl,0.0,0.0,8.511939571520765,0.0,0.0,0.0,123.4231237870511
40125,Steven Pienaar,29,Center Midfielder,37.1300833333,0.18541033434650456,64,1.0,1.0,0.0,0.0,0.0,7.0,Everton,epl,2.423910530771251,2.423910530771251,0.0,0.0,0.0,16.96737371539876,155.13027396936008
40125,Steven Pienaar,29,Winger,96.26665,0.605072463768116,184,1.0,0.0,3.0,1.0,4.0,17.0,Everton,epl,0.9349032089513866,0.0,2.8047096268541596,0.9349032089513866,3.7396128358055463,15.893354552173571,172.02219044705512
3520,Jeffrey Schlupp,22,Center Forward,30.08715,0.4797979797979798,61,0.0,0.0,0.0,0.0,2.0,6.0,Leicester City,epl,0.0,0.0,0.0,0.0,5.982620487483859,17.947861462451577,182.46992486825772
3520,Jeffrey Schlupp,22,Full Back,815.5915333334,0.4159099164547766,1589,14.0,22.0,17.0,8.0,7.0,74.0,Leicester City,epl,1.54489097606281,2.4276858195272726,1.8759390423619835,0.8827948434644628,0.772445488031405,8.16585230204628,175.34512578312894
3520,Jeffrey Schlupp,22,Wide Midfielder,280.31019999989996,0.4579587519830777,538,6.0,11.0,5.0,2.0,2.0,43.0,Leicester City,epl,1.92643721134726,3.5318015541366434,1.6053643427893833,0.6421457371157533,0.6421457371157533,13.806133347988697,172.73720328413765
3520,Jeffrey Schlupp,22,Winger,48.1700166667,0.5240641711229946,106,0.0,2.0,0.0,2.0,1.0,10.0,Leicester City,epl,0.0,3.7367643288451307,0.0,3.7367643288451307,1.8683821644225653,18.683821644225652,198.04850942879193
3286,Nathan Redmond,56,Attacking Midfielder,242.4010333333,0.2883950617283951,421,3.0,1.0,8.0,4.0,1.0,31.0,Norwich City,epl,1.1138566378500192,0.3712855459500064,2.970284367600051,1.4851421838000256,0.3712855459500064,11.5098519244502,156.3112148449527
3286,Nathan Redmond,56,Center Midfielder,25.9809333333,0.5180722891566265,43,1.0,0.0,0.0,0.0,0.0,2.0,Norwich City,epl,3.4640787859859588,0.0,0.0,0.0,0.0,6.9281575719719175,148.9553877973962
3286,Nathan Redmond,56,Defensive Midfielder,42.4264833333,0.6764705882352942,74,0.0,1.0,1.0,1.0,0.0,6.0,Norwich City,epl,0.0,2.1213165204611752,2.1213165204611752,2.1213165204611752,0.0,12.727899122767052,156.97742251412697
